Gesture,Action
One-finger Tap,Speak an item
One-finger Swipe Right,Move to next item
One-finger Swipe Left,Move to previous item
One-finger Swipe Down,Jump to next Rotor item
One-finger Swipe Up,Select previous Rotor item
One-finger Double Tap,Activate the selected item
Two-finger Swipe Up,Speak the screen from the top
Two-finger Swipe Down,Speak the screen from current item
Two-finger Tap,Pause or continue speaking
Two-finger Double Tap,Start or stop current action
Three-finger Swipe Down,Move down one page
Three-finger Swipe Up,Move up one page
Three-finger Double-Tap,Mute or unmute VoiceOver